category,source,date,latitude,longitude,magnitude_value,magnitude_unit,location,binary_category
0,0,2026-02-21,0.2263012773620241,-0.2202779142791086,-0.04225225454241915,1,8,0
0,0,2026-02-20,0.40276409531030943,-0.18309697413257772,-0.1000807478561531,1,18,0
0,0,2026-02-20,0.3740806415598668,-0.18811081811597066,-0.10196488422978353,1,18,0
0,0,2026-02-20,0.23033262627759932,-0.23358553954841108,-0.09829323386065757,1,8,0
0,0,2026-02-20,0.21988860056173173,-0.23983881218323683,-0.08611881421566094,1,8,0
0,0,2026-02-20,0.017191467445279673,-0.2537732846705185,-0.050271911927615334,1,6,0
0,0,2026-02-20,0.27686767329109035,-0.21907045827687252,-0.10515342270823502,1,8,0
0,0,2026-02-20,0.20204319333104084,-0.22802034460793358,-0.10640951362398865,1,8,0
0,0,2026-02-20,0.2401805541325672,-0.23076494321575458,-0.04128603076107021,1,8,0
0,0,2026-02-20,0.3425505524622253,-0.18617442375413285,-0.0028786354524499122,1,18,0
0,0,2026-02-20,0.2891385816486504,-0.20315848867645997,-0.046793506314759155,1,8,0
0,0,2026-02-20,0.20909621285223848,-0.2250292332435126,-0.11056427588378907,1,8,0
0,0,2026-02-20,0.21808168996736554,-0.24907875217445602,-0.10452537725035821,1,11,0
0,0,2026-02-20,0.216035409378056,-0.24123419612028849,0.07161721808955322,1,8,0
0,0,2026-02-20,0.3813988356681284,-0.1569546386739577,-0.10863182832109121,1,26,0
0,0,2026-02-19,0.21538078575959382,-0.26224381297454774,0.3246229152357727,1,11,0
0,0,2026-02-19,0.0001041732086646004,-0.15181720976692425,-0.05051346787295257,1,0,0
0,0,2026-02-19,0.3805544127940152,-0.20134284337321784,-0.1056365345989095,1,18,0
0,0,2026-02-19,0.3302315108814637,-0.3540395748032917,-0.09785843315905055,1,11,0
0,0,2026-02-19,0.21537067601528354,-0.2384641784782224,-0.07906538061181369,1,8,0
0,0,2026-02-19,0.023968707752515004,-0.2581241587403275,-0.10428382130502098,1,6,0
0,0,2026-02-19,0.022417486495597595,-0.25906066858773974,-0.10075710450309736,1,6,0
0,0,2026-02-19,-0.032988743320889045,-0.2553862520823388,-0.05510303083436002,1,6,0
0,0,2026-02-19,0.02337484864618282,-0.18339389266116798,-0.09486313943686883,1,0,0
0,0,2026-02-19,0.20731275026623766,-0.22705487089496978,-0.051528002843368954,1,8,0
0,0,2026-02-19,0.1421466699126371,-0.09550225586484741,-0.10177163947351374,1,12,0
0,0,2026-02-19,0.20829467980247168,-0.22846704522811132,-0.08288196454814199,1,8,0
