event_id,title,category,source,date,latitude,longitude,magnitude_value,magnitude_unit,closed
EONET_18992,"Turkey Wildfire, Huerfano, Colorado",Wildfires,IRWIN,2026-03-25T20:36:00Z,37.846389,-104.638056,638,acres,
EONET_18990,"Warthog Wildfire, Trinity, Texas",Wildfires,IRWIN,2026-03-25T18:53:00Z,31.131093,-95.158513,815,acres,
EONET_19214,"Compartment 144 RX Prescribed Fire, Putnam, Georgia",Wildfires,IRWIN,2026-03-25T18:37:00Z,33.240418,-83.476397,878,acres,
EONET_19006,"College Drive Wildfire, Monroe, Alabama",Wildfires,IRWIN,2026-03-25T13:07:00Z,31.83,-86.9869444,708,acres,
EONET_19005,"Warren RX Prescribed Fire, Lawrence, Alabama",Wildfires,IRWIN,2026-03-25T11:15:00Z,34.365,-87.2674,809,acres,
EONET_18996,"DCNF C-119-121 RX Prescribed Fire, Trinity, Texas",Wildfires,IRWIN,2026-03-25T10:28:00Z,31.189088,-94.886818,4234,acres,
EONET_18998,"IDNR- Sand Ridge State Forest RX Prescribed Fire, Mason, Illinois",Wildfires,IRWIN,2026-03-25T09:53:00Z,40.400583,-89.8787,1750,acres,
EONET_19003,"RX PCS Andy Knight South Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-25T09:34:00Z,34.818241,-94.318322,3264,acres,
EONET_18999,"RX Sharp Top 1 Prescribed Fire, Montgomery, Arkansas",Wildfires,IRWIN,2026-03-25T08:45:00Z,34.425278,-93.545833,3812,acres,
EONET_19002,"RX Vanderslice Unit 7/8 Prescribed Fire, Montgomery, Arkansas",Wildfires,IRWIN,2026-03-25T08:07:00Z,34.669806,-93.46725,2511,acres,
EONET_19244,"CMB - Powder Mill RX Prescribed Fire, Menifee, Kentucky",Wildfires,IRWIN,2026-03-25T06:44:00Z,37.878829,-83.68166,1081,acres,
EONET_18991,"FENCO FARMS (38) Wildfire, Levy, Florida",Wildfires,IRWIN,2026-03-24T19:48:00Z,29.0691667,-82.5494444,572.98,acres,
EONET_19007,"Compartment 128 RX Prescribed Fire, Jones, Georgia",Wildfires,IRWIN,2026-03-24T18:31:00Z,33.117915,-83.494928,1014,acres,
EONET_19227,"D7 Brushy MTN North RX Prescribed Fire, Apache, Arizona",Wildfires,IRWIN,2026-03-24T18:28:00Z,34.130612,-109.79702,1014,acres,
EONET_19008,"Iron Post Wildfire, Cherokee, Oklahoma",Wildfires,IRWIN,2026-03-24T15:45:00Z,36.1373333,-95.1038333,1309,acres,
EONET_19012,"PENNEL CREEK Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-24T14:26:00Z,36.627446,-96.125892,698,acres,
EONET_18985,"Hutchinson Wildfire, Hutchinson, Texas",Wildfires,IRWIN,2026-03-24T13:54:00Z,35.71033333,-101.4915333,2937,acres,
EONET_19014,"ADAMS FAMILY Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-24T13:39:00Z,36.4916,-96.15697,568,acres,
EONET_18981,"RX PCS Ross Creek Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-24T10:27:00Z,34.822777,-94.194099,3009,acres,
EONET_19011,"RX Whiskey Springs 3 Prescribed Fire, Crawford, Arkansas",Wildfires,IRWIN,2026-03-24T09:55:00Z,35.7401,-94.3509,2343,acres,
EONET_19010,"RX Mount Ida 7 Prescribed Fire, Montgomery, Arkansas",Wildfires,IRWIN,2026-03-24T09:22:00Z,34.584167,-93.668056,698,acres,
